seq_name	length
MSTRG.10054.1	134
MSTRG.10055.1	291
MSTRG.10057.1	154
MSTRG.10058.1	362
MSTRG.10059.1	567
MSTRG.10059.2	453
MSTRG.10059.3	296
MSTRG.1006.1	562
MSTRG.1006.2	562
MSTRG.10060.1	788
MSTRG.10060.2	789
MSTRG.10060.3	788
MSTRG.10061.1	362
MSTRG.10062.1	113
MSTRG.10062.2	246
MSTRG.10062.3	362
MSTRG.10065.1	113
MSTRG.10065.2	362
MSTRG.10067.1	367
MSTRG.10067.2	354
MSTRG.10068.1	237
MSTRG.10069.1	570
MSTRG.10069.3	114
MSTRG.1007.1	771
MSTRG.10070.1	236
MSTRG.10071.1	454
MSTRG.10072.1	354
MSTRG.10073.1	417
MSTRG.10074.1	742
MSTRG.10075.1	495
MSTRG.10076.1	1448
MSTRG.10077.1	250
MSTRG.10077.2	240
MSTRG.10079.1	108
MSTRG.1008.1	194
MSTRG.10080.1	346
MSTRG.10081.1	489
MSTRG.10081.2	490
MSTRG.10083.1	315
MSTRG.10083.2	314
MSTRG.10083.3	320
MSTRG.10084.1	377
MSTRG.10085.1	865
MSTRG.10086.1	669
MSTRG.10087.1	123
MSTRG.10088.1	928
MSTRG.10088.2	979
MSTRG.10089.1	641
MSTRG.10089.2	380
MSTRG.1009.1	162
MSTRG.10091.2	282
MSTRG.10093.1	356
MSTRG.10094.1	213
MSTRG.10096.1	392
MSTRG.10098.1	479
MSTRG.10099.1	204
MSTRG.101.1	227
MSTRG.101.2	352
MSTRG.1010.1	504
MSTRG.10101.1	592
MSTRG.10102.1	101
MSTRG.10102.2	101
MSTRG.10103.1	430
MSTRG.10103.2	217
MSTRG.10104.1	1276
MSTRG.10106.1	146
MSTRG.10107.1	498
MSTRG.10108.1	373
MSTRG.10109.1	483
MSTRG.1011.1	213
MSTRG.1011.2	205
MSTRG.10110.1	349
MSTRG.10111.1	327
MSTRG.10111.2	220
MSTRG.10112.1	373
MSTRG.10113.1	1025
MSTRG.10114.1	446
MSTRG.10115.1	522
MSTRG.10116.1	294
MSTRG.10117.1	183
MSTRG.10118.1	527
MSTRG.1012.1	351
MSTRG.10120.1	236
MSTRG.10121.1	337
MSTRG.10121.2	199
MSTRG.10122.1	974
MSTRG.10123.1	635
MSTRG.10123.2	635
MSTRG.10123.3	635
MSTRG.10123.4	635
MSTRG.10124.1	169
MSTRG.10125.1	246
MSTRG.10128.1	247
MSTRG.10128.2	247
MSTRG.10129.1	751
MSTRG.10129.2	446
MSTRG.10129.3	751
MSTRG.10129.4	751
MSTRG.10129.5	335
MSTRG.10129.6	109
MSTRG.1013.1	131
MSTRG.10130.1	243
MSTRG.10131.1	356
MSTRG.10132.1	396
MSTRG.10133.1	336
MSTRG.10134.1	184
MSTRG.10135.1	1156
MSTRG.10135.2	876
MSTRG.10135.3	1168
MSTRG.10136.1	653
MSTRG.10137.1	551
MSTRG.10138.1	291
MSTRG.10139.1	509
MSTRG.10140.1	502
MSTRG.10141.1	456
MSTRG.10142.1	308
MSTRG.10144.1	113
MSTRG.10145.1	237
MSTRG.10146.1	250
MSTRG.10147.1	354
MSTRG.10148.1	446
MSTRG.10148.2	445
MSTRG.10148.3	443
MSTRG.1015.1	309
MSTRG.10150.1	1463
MSTRG.10151.1	697
MSTRG.10152.1	515
MSTRG.10154.1	466
MSTRG.10155.1	331
MSTRG.10156.1	331
MSTRG.10157.1	321
MSTRG.10157.2	480
MSTRG.10159.1	877
MSTRG.1016.1	239
MSTRG.1016.2	179
MSTRG.1016.3	239
MSTRG.10160.1	404
MSTRG.10161.1	504
MSTRG.10161.2	328
MSTRG.10161.3	504
MSTRG.10161.4	168
MSTRG.10161.5	502
MSTRG.10162.1	505
MSTRG.10163.1	446
MSTRG.10164.1	104
MSTRG.10165.1	234
MSTRG.10165.2	119
MSTRG.10166.1	451
MSTRG.10167.1	148
MSTRG.10168.1	319
MSTRG.10169.1	139
MSTRG.1017.1	182
MSTRG.10170.1	301
MSTRG.10172.1	411
MSTRG.10175.1	734
MSTRG.10176.1	520
MSTRG.10177.1	520
MSTRG.10179.1	204
MSTRG.1018.1	393
MSTRG.10181.1	679
MSTRG.10181.2	700
MSTRG.10181.3	679
MSTRG.10181.4	679
MSTRG.10182.1	147
MSTRG.10183.1	173
MSTRG.10184.1	251
MSTRG.10184.2	247
MSTRG.10186.1	592
MSTRG.10188.1	651
MSTRG.10189.1	653
MSTRG.1019.1	163
MSTRG.10190.1	642
MSTRG.10191.1	439
MSTRG.10191.2	439
MSTRG.10192.1	183
MSTRG.10193.1	290
MSTRG.10194.1	134
MSTRG.10195.1	268
MSTRG.10195.2	267
MSTRG.10195.3	262
MSTRG.10195.4	243
MSTRG.10196.1	741
MSTRG.10196.2	741
MSTRG.10197.1	351
MSTRG.10198.1	106
MSTRG.10199.1	511
MSTRG.102.1	629
MSTRG.102.2	315
MSTRG.1020.1	124
MSTRG.10200.1	115
MSTRG.10201.1	305
MSTRG.10202.1	361
MSTRG.10203.1	336
MSTRG.10204.1	205
MSTRG.10205.1	1912
MSTRG.10205.2	1893
MSTRG.10205.3	1790
MSTRG.10205.4	1893
MSTRG.10205.5	908
MSTRG.10206.1	313
MSTRG.10207.1	884
MSTRG.10207.2	889
MSTRG.10208.1	239
MSTRG.10209.1	151
MSTRG.10210.1	306
MSTRG.10211.1	330
MSTRG.10212.1	116
MSTRG.10212.2	116
MSTRG.10212.3	216
MSTRG.10212.4	167
MSTRG.10212.5	187
MSTRG.10212.6	355
MSTRG.10212.7	345
MSTRG.10213.1	239
MSTRG.10214.1	424
MSTRG.10214.2	128
MSTRG.10215.1	358
MSTRG.10216.1	255
MSTRG.10217.1	332
MSTRG.10218.1	185
MSTRG.10218.2	158
MSTRG.10219.1	235
MSTRG.10219.2	235
MSTRG.1022.1	689
MSTRG.1022.2	181
MSTRG.1022.3	355
MSTRG.10220.1	931
MSTRG.10221.1	127
MSTRG.10222.1	514
MSTRG.10223.1	355
MSTRG.10223.10	339
MSTRG.10223.2	339
MSTRG.10223.3	339
MSTRG.10223.4	339
MSTRG.10223.5	365
MSTRG.10223.6	339
MSTRG.10223.7	339
MSTRG.10223.8	339
MSTRG.10223.9	339
MSTRG.10224.1	592
MSTRG.10225.1	277
MSTRG.10227.1	597
MSTRG.10228.1	274
MSTRG.10229.1	142
MSTRG.1023.2	120
MSTRG.10231.1	304
MSTRG.10231.2	438
MSTRG.10232.1	586
MSTRG.10234.1	256
MSTRG.10235.1	319
MSTRG.10235.2	323
MSTRG.10235.3	320
MSTRG.10235.4	108
MSTRG.10236.1	420
MSTRG.10237.1	556
MSTRG.10237.2	556
MSTRG.10238.1	4335
MSTRG.10238.2	4223
MSTRG.10238.3	2422
MSTRG.10238.4	2944
MSTRG.10238.5	4222
MSTRG.10238.6	4199
MSTRG.10239.1	552
MSTRG.1024.1	394
MSTRG.10240.1	607
MSTRG.10241.1	365
MSTRG.10242.1	813
MSTRG.10242.2	807
MSTRG.10242.3	781
MSTRG.10243.1	270
MSTRG.10244.1	576
MSTRG.10244.2	720
MSTRG.10245.1	380
MSTRG.10247.1	234
MSTRG.10248.1	608
MSTRG.10249.1	403
MSTRG.1025.1	1011
MSTRG.10250.1	264
MSTRG.10251.1	176
MSTRG.10252.1	286
MSTRG.10253.1	134
MSTRG.10254.1	152
MSTRG.10254.2	286
MSTRG.10255.1	440
MSTRG.10256.1	371
MSTRG.10256.2	229
MSTRG.10257.1	283
MSTRG.10258.1	274
MSTRG.10258.2	167
MSTRG.10259.1	341
MSTRG.1026.1	107
MSTRG.10260.1	304
MSTRG.10261.1	468
MSTRG.10262.1	385
MSTRG.10263.1	211
MSTRG.10263.2	211
MSTRG.10264.1	658
MSTRG.10266.1	845
MSTRG.10266.2	845
MSTRG.10268.1	1152
MSTRG.10269.1	130
MSTRG.1027.1	363
MSTRG.10272.1	296
MSTRG.10273.1	598
MSTRG.10274.1	400
MSTRG.10275.1	526
MSTRG.10276.1	360
MSTRG.10277.1	382
MSTRG.10278.1	379
MSTRG.10279.1	333
MSTRG.1028.1	135
MSTRG.10281.1	473
MSTRG.10282.1	566
MSTRG.10282.2	519
MSTRG.10283.1	1055
MSTRG.10283.2	987
MSTRG.10283.3	614
MSTRG.10284.1	208
MSTRG.10285.1	597
MSTRG.10285.2	597
MSTRG.10286.1	218
MSTRG.10287.1	537
MSTRG.10288.1	405
MSTRG.10288.2	828
MSTRG.1029.1	198
MSTRG.10290.1	387
MSTRG.10291.1	162
MSTRG.10292.1	393
MSTRG.10292.2	272
MSTRG.10293.1	178
MSTRG.10293.2	177
MSTRG.10294.1	184
MSTRG.10294.2	136
MSTRG.10295.1	160
MSTRG.10296.1	435
MSTRG.10296.2	232
MSTRG.10297.1	463
MSTRG.10297.2	556
MSTRG.10297.3	481
MSTRG.10297.4	474
MSTRG.10297.5	478
MSTRG.10297.6	303
MSTRG.10297.7	474
MSTRG.10299.1	194
MSTRG.103.1	194
MSTRG.1030.1	179
MSTRG.1030.2	163
MSTRG.10300.1	688
MSTRG.10300.2	568
MSTRG.10300.3	767
MSTRG.10301.1	169
MSTRG.10303.1	1668
MSTRG.10305.1	245
MSTRG.10307.1	225
MSTRG.10308.1	128
MSTRG.10309.1	209
MSTRG.10309.2	387
MSTRG.1031.1	639
MSTRG.1031.2	644
MSTRG.10310.1	141
MSTRG.10311.1	801
MSTRG.10311.2	680
MSTRG.10311.3	778
MSTRG.10312.1	623
MSTRG.10313.1	763
MSTRG.10313.2	175
MSTRG.10313.3	758
MSTRG.10315.1	346
MSTRG.10316.1	287
MSTRG.10317.1	863
MSTRG.10318.1	634
MSTRG.10319.1	600
MSTRG.10320.1	524
MSTRG.10320.2	524
MSTRG.10321.1	415
MSTRG.10321.2	453
MSTRG.10321.3	453
MSTRG.10321.4	453
MSTRG.10321.5	415
MSTRG.10321.6	379
MSTRG.10322.1	227
MSTRG.10323.1	502
MSTRG.10323.2	502
MSTRG.10324.1	767
MSTRG.10326.1	1191
MSTRG.10326.2	1194
MSTRG.10327.1	266
MSTRG.10328.1	382
MSTRG.10328.2	488
MSTRG.10329.1	360
MSTRG.10329.2	340
MSTRG.1033.1	422
MSTRG.1033.2	254
MSTRG.10330.1	556
MSTRG.10331.1	537
MSTRG.10332.1	149
MSTRG.10332.2	149
MSTRG.10333.1	329
MSTRG.10334.1	331
MSTRG.10334.2	241
MSTRG.10334.3	190
MSTRG.10335.1	191
MSTRG.10336.1	449
MSTRG.10337.1	331
MSTRG.10338.1	402
MSTRG.10339.1	379
MSTRG.1034.1	249
MSTRG.10340.1	553
MSTRG.10341.1	250
MSTRG.10342.1	1193
MSTRG.10342.2	1193
MSTRG.10343.1	583
MSTRG.10344.1	948
MSTRG.10344.2	948
MSTRG.10344.3	948
MSTRG.10344.4	948
MSTRG.10345.1	413
MSTRG.10346.1	368
MSTRG.10347.1	856
MSTRG.10347.2	1187
MSTRG.10348.1	146
MSTRG.10348.2	146
MSTRG.10349.1	425
MSTRG.1035.1	278
MSTRG.1035.2	278
MSTRG.1035.3	287
MSTRG.1035.4	278
MSTRG.10350.1	598
MSTRG.10351.1	484
MSTRG.10353.1	193
MSTRG.10354.1	288
MSTRG.10355.1	438
MSTRG.10356.1	351
MSTRG.10356.2	226
MSTRG.10357.1	571
MSTRG.10357.2	392
MSTRG.10357.3	564
MSTRG.10358.1	165
MSTRG.10359.1	334
MSTRG.10359.2	263
MSTRG.1036.1	292
MSTRG.1036.2	208
MSTRG.10360.1	228
MSTRG.10360.2	166
MSTRG.10360.3	169
MSTRG.10361.1	287
MSTRG.10362.1	236
MSTRG.10363.1	486
MSTRG.10363.2	485
MSTRG.10364.1	393
MSTRG.10365.1	735
MSTRG.10366.1	236
MSTRG.10367.1	208
MSTRG.10368.1	542
MSTRG.10368.2	539
MSTRG.10369.1	189
MSTRG.1037.1	295
MSTRG.1037.2	295
MSTRG.10370.1	157
MSTRG.10371.1	478
MSTRG.10372.1	401
MSTRG.10372.2	190
MSTRG.10373.1	747
MSTRG.10374.1	319
MSTRG.10375.1	248
MSTRG.10376.1	621
MSTRG.10376.2	446
MSTRG.10376.3	500
MSTRG.10378.1	333
MSTRG.10378.2	162
MSTRG.10379.1	560
MSTRG.1038.1	366
MSTRG.1038.2	366
MSTRG.1038.3	366
MSTRG.10380.1	502
MSTRG.10381.1	128
MSTRG.10382.1	569
MSTRG.10383.1	328
MSTRG.10384.1	261
MSTRG.10385.1	118
MSTRG.10386.1	846
MSTRG.10387.1	326
MSTRG.10388.1	1142
MSTRG.10389.1	193
MSTRG.10390.1	521
MSTRG.10391.1	410
MSTRG.10392.1	129
MSTRG.10392.2	369
MSTRG.10393.1	149
MSTRG.10394.1	181
MSTRG.10395.1	257
MSTRG.10396.1	231
MSTRG.10397.1	500
MSTRG.10398.1	625
MSTRG.10398.2	625
MSTRG.10398.3	625
MSTRG.10399.1	344
MSTRG.104.1	715
MSTRG.104.2	283
MSTRG.1040.1	567
MSTRG.10400.1	102
MSTRG.10400.2	103
MSTRG.10401.1	188
MSTRG.10401.2	188
MSTRG.10402.1	139
MSTRG.10402.2	139
MSTRG.10403.1	210
MSTRG.10403.2	209
MSTRG.10404.1	1188
MSTRG.10405.1	546
MSTRG.10406.1	949
MSTRG.10406.2	949
MSTRG.10406.3	949
MSTRG.10407.1	351
MSTRG.10407.2	307
MSTRG.10407.3	239
MSTRG.10408.1	375
MSTRG.10409.1	812
MSTRG.1041.1	148
MSTRG.10410.1	373
MSTRG.10410.2	373
MSTRG.10410.3	359
MSTRG.10410.4	377
MSTRG.10410.5	611
MSTRG.10411.1	507
MSTRG.10411.2	527
MSTRG.10411.3	528
MSTRG.10412.1	1091
MSTRG.10413.1	360
MSTRG.10414.1	112
MSTRG.10415.1	430
MSTRG.10416.1	378
MSTRG.10417.1	218
MSTRG.10418.1	248
MSTRG.10419.1	413
MSTRG.10419.2	413
MSTRG.10420.1	496
MSTRG.10421.1	310
MSTRG.10421.2	521
MSTRG.10421.3	271
MSTRG.10422.1	204
MSTRG.10423.1	1094
MSTRG.10423.2	1095
MSTRG.10423.3	873
MSTRG.10424.1	173
MSTRG.10425.1	721
MSTRG.10425.2	721
MSTRG.10426.1	127
MSTRG.10426.2	127
MSTRG.10427.1	397
MSTRG.10428.1	210
MSTRG.10428.2	210
MSTRG.1043.1	582
MSTRG.1043.2	572
MSTRG.10432.1	460
MSTRG.10433.1	809
MSTRG.10433.2	809
MSTRG.10434.1	494
MSTRG.10435.1	500
MSTRG.10436.1	696
MSTRG.10438.1	169
MSTRG.10439.1	269
MSTRG.10441.1	282
MSTRG.10441.2	209
MSTRG.10441.3	394
MSTRG.10441.4	209
MSTRG.10441.5	398
MSTRG.10442.1	261
MSTRG.10443.1	635
MSTRG.10444.1	332
MSTRG.10444.2	161
MSTRG.10445.1	340
MSTRG.10445.2	340
MSTRG.10446.1	464
MSTRG.10446.2	468
MSTRG.10446.3	421
MSTRG.10449.1	610
MSTRG.1045.1	225
MSTRG.10450.1	579
MSTRG.10451.1	453
MSTRG.10452.1	587
MSTRG.10453.1	916
MSTRG.10453.2	905
MSTRG.10453.3	697
MSTRG.10454.1	360
MSTRG.10454.2	383
MSTRG.10455.1	124
MSTRG.10456.1	453
MSTRG.10457.1	555
MSTRG.10458.1	326
MSTRG.10458.3	223
MSTRG.10459.1	127
MSTRG.1046.1	527
MSTRG.1046.2	535
MSTRG.1046.3	472
MSTRG.10460.1	669
MSTRG.10461.1	118
MSTRG.10462.1	138
MSTRG.10463.1	161
MSTRG.10464.1	369
MSTRG.10466.1	219
MSTRG.10467.1	524
MSTRG.10468.1	838
MSTRG.10469.1	500
MSTRG.1047.1	307
MSTRG.10470.1	648
MSTRG.10470.2	481
MSTRG.10470.3	460
MSTRG.10470.4	648
MSTRG.10470.5	211
MSTRG.10471.1	376
MSTRG.10471.2	181
MSTRG.10472.1	845
MSTRG.10473.1	101
MSTRG.10473.2	101
MSTRG.10473.3	101
MSTRG.10474.1	549
MSTRG.10474.2	394
MSTRG.10475.1	160
MSTRG.10476.1	147
MSTRG.10477.1	294
MSTRG.10477.2	295
MSTRG.10478.1	599
MSTRG.10478.2	415
MSTRG.10479.1	276
MSTRG.1048.1	310
MSTRG.1048.2	310
MSTRG.10480.1	1017
MSTRG.10481.1	381
MSTRG.10482.1	409
MSTRG.10483.1	223
MSTRG.10484.1	415
MSTRG.10485.1	599
MSTRG.10486.1	794
MSTRG.10487.1	445
MSTRG.10488.1	457
MSTRG.10489.1	141
MSTRG.10489.2	130
MSTRG.10489.3	327
MSTRG.1049.1	126
MSTRG.10490.1	564
MSTRG.10490.2	316
MSTRG.10491.1	323
MSTRG.10491.2	512
MSTRG.10492.1	199
MSTRG.10494.1	203
MSTRG.10495.1	539
MSTRG.10496.1	250
MSTRG.10496.2	250
MSTRG.10497.1	817
MSTRG.10498.1	457
MSTRG.10499.1	135
MSTRG.1050.1	127
MSTRG.10500.1	111
MSTRG.10500.2	110
MSTRG.10501.1	581
MSTRG.10501.2	343
MSTRG.10504.1	463
MSTRG.10505.1	400
MSTRG.10506.1	172
MSTRG.10507.1	538
MSTRG.10508.1	104
MSTRG.10509.1	135
MSTRG.10511.1	692
MSTRG.10511.2	692
MSTRG.10512.1	538
MSTRG.10513.1	509
MSTRG.10513.2	622
MSTRG.10514.1	439
MSTRG.10515.1	152
MSTRG.10516.1	250
MSTRG.10517.1	171
MSTRG.10518.1	288
MSTRG.10520.1	180
MSTRG.10521.1	372
MSTRG.10523.1	138
MSTRG.10523.2	134
MSTRG.10523.3	134
MSTRG.10524.1	337
MSTRG.10525.1	585
MSTRG.10526.1	179
MSTRG.10527.1	109
MSTRG.10529.1	414
MSTRG.10529.2	414
MSTRG.10529.3	275
MSTRG.1053.1	191
MSTRG.1053.2	191
MSTRG.10530.1	213
MSTRG.10531.1	325
MSTRG.10532.1	507
MSTRG.10532.2	507
MSTRG.10533.1	174
MSTRG.10534.1	413
MSTRG.10535.1	312
MSTRG.10535.2	315
MSTRG.10535.3	295
MSTRG.10535.4	298
MSTRG.10536.1	391
MSTRG.10537.1	647
MSTRG.10538.1	824
MSTRG.10539.1	298
MSTRG.1054.1	127
MSTRG.10540.1	560
MSTRG.10540.2	560
MSTRG.10541.1	560
MSTRG.10542.1	253
MSTRG.10543.1	343
MSTRG.10543.2	343
MSTRG.10544.1	365
MSTRG.10545.1	123
MSTRG.10545.2	123
MSTRG.10546.1	323
MSTRG.10546.2	318
MSTRG.10547.1	501
MSTRG.10547.2	542
MSTRG.10548.1	130
MSTRG.10549.1	371
MSTRG.10549.2	369
MSTRG.10549.3	249
MSTRG.10549.4	370
MSTRG.10550.1	121
MSTRG.10550.2	119
MSTRG.10552.1	375
MSTRG.10553.1	219
MSTRG.10554.1	219
MSTRG.10555.1	144
MSTRG.10556.1	283
MSTRG.10557.1	424
MSTRG.10558.1	245
MSTRG.10559.1	311
MSTRG.10559.2	311
MSTRG.10559.3	211
MSTRG.10559.4	327
MSTRG.1056.1	337
MSTRG.10561.1	134
MSTRG.10562.1	156
MSTRG.10563.1	132
MSTRG.10564.1	512
MSTRG.10565.1	448
MSTRG.10566.1	190
MSTRG.10567.1	589
MSTRG.10567.2	589
MSTRG.10568.1	498
MSTRG.10569.1	226
MSTRG.1057.1	340
MSTRG.10570.1	601
MSTRG.10571.1	390
MSTRG.10572.1	592
MSTRG.10573.1	760
MSTRG.10574.1	280
MSTRG.10575.1	782
MSTRG.10576.1	974
MSTRG.10576.2	808
MSTRG.10576.3	292
MSTRG.10577.1	212
MSTRG.10577.2	177
MSTRG.10577.3	177
MSTRG.10578.1	429
MSTRG.10579.1	135
MSTRG.10580.1	750
MSTRG.10580.2	750
MSTRG.10581.1	218
MSTRG.10581.2	216
MSTRG.10582.1	1228
MSTRG.10582.2	1247
MSTRG.10583.1	214
MSTRG.10584.1	560
MSTRG.10585.1	766
MSTRG.10585.2	532
MSTRG.10586.1	669
MSTRG.10587.1	408
MSTRG.10587.2	408
MSTRG.10588.1	699
MSTRG.10589.1	527
MSTRG.10589.2	303
MSTRG.1059.1	1348
MSTRG.1059.2	865
MSTRG.10590.1	330
MSTRG.10591.1	669
MSTRG.10592.1	160
MSTRG.10593.1	1869
MSTRG.10593.2	1566
MSTRG.10593.3	1873
MSTRG.10594.1	269
MSTRG.10594.2	148
MSTRG.10594.3	180
MSTRG.10594.4	312
MSTRG.10594.5	234
MSTRG.10594.6	180
MSTRG.10595.1	347
MSTRG.10596.1	334
MSTRG.10597.1	449
MSTRG.10598.1	2573
MSTRG.10598.2	2259
MSTRG.10598.3	2187
MSTRG.10598.4	2187
MSTRG.10598.5	2498
MSTRG.10599.1	527
MSTRG.106.1	291
MSTRG.1060.1	112
MSTRG.10600.1	3584
MSTRG.10600.2	3584
MSTRG.10601.1	1096
MSTRG.10601.2	1096
MSTRG.10601.3	1096
MSTRG.10603.1	204
MSTRG.10603.2	204
MSTRG.10604.1	149
MSTRG.10605.1	651
MSTRG.10605.2	544
MSTRG.10606.2	105
MSTRG.10607.1	748
MSTRG.1061.1	330
MSTRG.1061.2	164
MSTRG.10611.1	131
MSTRG.10612.1	180
MSTRG.10612.2	598
MSTRG.10613.1	192
MSTRG.10614.1	219
MSTRG.10616.1	287
MSTRG.10617.1	306
MSTRG.10618.1	228
MSTRG.10619.1	104
MSTRG.10620.1	354
MSTRG.10621.1	153
MSTRG.10622.1	275
MSTRG.10623.1	167
MSTRG.10623.2	167
MSTRG.10624.1	432
MSTRG.10625.1	614
MSTRG.10626.1	660
MSTRG.10626.2	660
MSTRG.10627.1	295
MSTRG.10628.1	496
MSTRG.1063.1	821
MSTRG.10630.1	151
MSTRG.10631.1	269
MSTRG.10632.1	151
MSTRG.10634.1	119
MSTRG.10634.2	147
MSTRG.10635.1	139
MSTRG.10636.1	150
MSTRG.10636.2	148
MSTRG.10637.1	146
MSTRG.10639.1	153
MSTRG.10642.1	103
MSTRG.10643.1	215
MSTRG.10643.2	258
MSTRG.10643.3	261
MSTRG.10643.4	215
MSTRG.10644.1	505
MSTRG.10644.2	497
MSTRG.10644.3	505
MSTRG.10644.4	473
MSTRG.10645.1	321
MSTRG.10646.1	305
MSTRG.10647.1	986
MSTRG.10648.1	1025
MSTRG.1065.1	120
MSTRG.10650.1	483
MSTRG.10650.2	291
MSTRG.10650.3	291
MSTRG.10651.1	539
MSTRG.10652.1	158
MSTRG.10653.1	147
MSTRG.10654.1	192
MSTRG.10655.1	128
MSTRG.10657.1	192
MSTRG.10658.1	192
MSTRG.10659.1	661
MSTRG.1066.1	107
MSTRG.10660.1	147
MSTRG.10661.1	370
MSTRG.10661.2	799
MSTRG.10662.1	145
MSTRG.10663.1	142
MSTRG.10664.1	520
MSTRG.10665.1	262
MSTRG.10666.1	185
MSTRG.10667.1	207
MSTRG.10667.2	206
MSTRG.10668.1	451
MSTRG.1067.1	341
MSTRG.10670.1	322
MSTRG.10671.1	348
MSTRG.10671.2	348
MSTRG.10671.3	348
MSTRG.10671.4	259
MSTRG.10672.1	339
MSTRG.10672.2	177
MSTRG.10672.3	339
MSTRG.10672.4	339
MSTRG.10672.5	339
MSTRG.10672.6	177
MSTRG.10672.7	177
MSTRG.10673.1	140
MSTRG.10673.10	140
MSTRG.10673.11	140
MSTRG.10673.2	140
MSTRG.10673.3	140
MSTRG.10673.4	140
MSTRG.10673.5	140
MSTRG.10673.6	140
MSTRG.10673.7	140
MSTRG.10673.8	140
MSTRG.10673.9	140
MSTRG.10674.1	110
MSTRG.10675.1	119
MSTRG.10677.1	229
MSTRG.10678.1	321
MSTRG.10678.2	362
MSTRG.10678.3	301
MSTRG.10678.4	301
MSTRG.10679.1	180
MSTRG.1068.1	283
MSTRG.1068.2	283
MSTRG.10680.1	781
MSTRG.10680.2	781
MSTRG.10681.1	339
MSTRG.10682.1	290
MSTRG.10683.1	1206
MSTRG.10683.2	893
MSTRG.10685.1	145
MSTRG.10686.1	461
MSTRG.10686.2	463
MSTRG.10688.1	630
MSTRG.10690.1	1219
MSTRG.10690.2	1023
MSTRG.10691.1	673
MSTRG.10691.2	579
MSTRG.10692.1	117
MSTRG.10693.1	105
MSTRG.10694.1	223
MSTRG.10695.1	122
MSTRG.107.1	110
MSTRG.1070.1	337
MSTRG.10700.1	145
MSTRG.10700.2	283
MSTRG.10701.1	551
MSTRG.10702.1	1180
MSTRG.10703.2	145
MSTRG.10705.1	116
MSTRG.10707.1	304
MSTRG.10708.1	1035
MSTRG.10710.1	102
MSTRG.10712.1	986
MSTRG.10713.1	265
MSTRG.10714.1	479
MSTRG.10714.2	482
MSTRG.10714.3	216
MSTRG.10716.1	570
MSTRG.10717.1	190
MSTRG.10717.2	170
MSTRG.10717.3	170
MSTRG.10718.1	570
MSTRG.10719.1	190
MSTRG.10720.1	815
MSTRG.10720.10	361
MSTRG.10720.2	442
MSTRG.10720.3	352
MSTRG.10720.4	438
MSTRG.10720.5	361
MSTRG.10720.6	361
MSTRG.10720.7	438
MSTRG.10720.8	438
MSTRG.10720.9	438
MSTRG.10721.1	135
MSTRG.10723.1	166
MSTRG.10725.1	399
MSTRG.10726.1	122
MSTRG.10726.10	122
MSTRG.10726.11	122
MSTRG.10726.12	122
MSTRG.10726.13	122
MSTRG.10726.14	122
MSTRG.10726.15	122
MSTRG.10726.2	122
MSTRG.10726.3	122
MSTRG.10726.4	122
MSTRG.10726.5	122
MSTRG.10726.6	122
MSTRG.10726.7	122
MSTRG.10726.8	122
MSTRG.10726.9	122
MSTRG.10727.1	489
MSTRG.10727.2	389
MSTRG.10728.1	804
MSTRG.10728.2	1525
MSTRG.10728.3	804
MSTRG.10729.1	537
MSTRG.1073.1	438
MSTRG.10731.1	668
MSTRG.10732.1	458
MSTRG.10733.1	363
